,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI
0,2020-03-01,1239.49,2367.12,527.57,542.9699999999999,841.95,379.91,41.38,365.1100000000001,846.2099999999998,3267.0
1,2020-03-02,1363.77,2643.03,579.3299999999999,596.4599999999999,942.3199999999999,389.23,44.48000000000001,384.7699999999999,746.7800000000001,3496.0
2,2020-03-03,1294.5600000000002,2695.67,537.6099999999998,584.0300000000001,859.59,480.7099999999999,40.95,426.77,846.71,3435.0
3,2020-03-04,1098.61,2314.34,463.46,531.8399999999999,753.2800000000001,479.2699999999998,26.67000000000001,334.1,796.5199999999999,2875.0
4,2020-03-05,877.0,1779.44,334.65999999999997,480.4,616.62,495.1700000000001,25.67,346.43000000000006,721.6600000000001,2512.0
5,2020-03-06,718.6600000000001,1622.48,467.55,433.36999999999995,704.6500000000001,487.06,26.12,328.2899999999999,672.56,2151.0
6,2020-03-07,718.1500000000001,1698.9699999999998,420.84000000000003,465.50000000000006,682.7,526.24,28.22,294.93000000000006,675.5799999999999,2170.0
7,2020-03-08,754.1099999999999,1736.8400000000004,486.6499999999999,463.97,720.4000000000001,554.93,24.78,309.96000000000004,643.28,2344.0
8,2020-03-09,830.81,1768.38,380.7199999999999,472.57,635.0500000000001,543.12,22.240000000000002,309.62,811.55,2174.0
9,2020-03-10,1073.4300000000003,1989.35,367.29999999999995,441.84000000000003,614.0699999999999,500.6,19.6,311.87000000000006,784.0899999999999,2423.0
10,2020-03-11,841.0499999999998,1721.57,378.33000000000004,446.16,619.7900000000001,471.61999999999995,20.500000000000004,333.63000000000005,800.7800000000001,2143.0
11,2020-03-12,829.16,1834.21,423.25,487.85,657.59,530.3599999999999,23.48,339.26000000000005,699.84,2166.0
12,2020-03-13,871.9799999999999,2049.56,428.1900000000001,498.43,668.4900000000001,439.55000000000007,24.269999999999996,333.77,736.1999999999998,2304.0
13,2020-03-14,827.69,1844.1899999999998,355.74,443.1099999999999,567.99,421.00000000000006,20.709999999999997,347.76000000000005,740.75,2363.0
14,2020-03-15,806.3300000000002,1770.92,404.75,434.8900000000001,586.11,423.75000000000006,21.62,289.80999999999995,697.1399999999999,2083.0
15,2020-03-16,963.9300000000001,2198.16,415.52,477.75000000000006,637.8899999999999,459.34,23.52,294.71,733.1499999999999,2267.0
16,2020-03-17,1155.5100000000002,2578.7699999999995,517.9800000000001,520.77,744.4599999999999,500.22,36.86,287.49000000000007,787.2599999999998,2680.0
17,2020-03-18,1160.6999999999998,2451.06,531.6299999999999,573.5,767.39,509.77,38.20000000000001,322.06000000000006,1008.59,3168.0
