Date,$FutureFlag,NO,$TS-NO
2020-03-01,0,527.57,527.615999
2020-03-02,0,579.33,533.236713
2020-03-03,0,537.61,618.609465
2020-03-04,0,463.46,570.65544
2020-03-05,0,334.66,424.838301
2020-03-06,0,467.55,319.76131
2020-03-07,0,420.84,429.021821
2020-03-08,0,486.65,434.989666
2020-03-09,0,380.72,492.26502
2020-03-10,0,367.30,420.157064
2020-03-11,0,378.33,400.317292
2020-03-12,0,423.25,339.623101
2020-03-13,0,428.19,408.17757
2020-03-14,0,355.74,389.789553
2020-03-15,0,404.75,369.915546
2020-03-16,0,415.52,410.381806
2020-03-17,0,517.98,454.840401
2020-03-18,0,531.63,550.881309
2020-03-19,0,497.84,492.920391
2020-03-20,0,509.52,482.846258
2020-03-21,0,448.45,471.112879
2020-03-22,0,357.76,462.614177
2020-03-23,0,345.19,363.53148
2020-03-24,0,441.25,384.533894
2020-03-25,0,552.12,474.157713
2020-03-26,0,519.87,513.313188
2020-03-27,0,403.29,504.874626
2020-03-28,0,306.15,365.011119
2020-03-29,0,260.98,320.350354
2020-03-30,0,282.98,266.706019
2020-03-31,0,346.41,322.289298
2020-04-01,0,404.23,379.350312
2020-04-02,0,252.09,365.476251
2020-04-03,0,305.76,237.214537
2020-04-04,0,236.55,267.311008
2020-04-05,0,248.53,250.722255
2020-04-06,0,242.43,254.198862
2020-04-07,0,346.91,281.767341
2020-04-08,0,553.57,379.809292
2020-04-09,0,596.87,514.667345
2020-04-10,0,377.67,581.799002
2020-04-11,0,287.96,339.493644
2020-04-12,0,263.33,302.153033
2020-04-13,0,321.82,269.035489
2020-04-14,0,286.49,361.092809
2020-04-15,0,328.35,319.529056
2020-04-16,0,311.78,289.612254
2020-04-17,0,299.61,296.768966
2020-04-18,0,352.50,261.226722
2020-04-19,0,286.09,366.550237
2020-04-20,0,308.54,291.837146
2020-04-21,0,416.43,347.848859
2020-04-22,0,316.25,449.325899
2020-04-23,0,269.07,277.654146
2020-04-24,0,272.46,254.089711
2020-04-25,0,245.94,234.061214
2020-04-26,0,277.51,260.069586
2020-04-27,0,287.64,283.159274
2020-04-28,0,257.72,326.961093
2020-04-29,0,286.84,290.753666
2020-04-30,0,260.79,248.115021
2020-05-01,0,267.27,245.78846
2020-05-02,1,,228.868102
2020-05-03,1,,243.009568
2020-05-04,1,,248.676277
2020-05-05,1,,288.001833
2020-05-06,1,,320.966278
2020-05-07,1,,282.237389
2020-05-08,1,,267.248525
2020-05-09,1,,228.868102
2020-05-10,1,,243.009568
2020-05-11,1,,248.676277
2020-05-12,1,,288.001833
