Date,$FutureFlag,SO2,$TS-SO2
2020-03-01,0,365.11,369.749405
2020-03-02,0,384.77,365.59271
2020-03-03,0,426.77,390.310732
2020-03-04,0,334.10,413.869574
2020-03-05,0,346.43,352.097208
2020-03-06,0,328.29,349.147339
2020-03-07,0,294.93,337.005364
2020-03-08,0,309.96,291.859595
2020-03-09,0,309.62,305.892917
2020-03-10,0,311.87,318.252091
2020-03-11,0,333.63,307.541139
2020-03-12,0,339.26,330.446916
2020-03-13,0,333.77,339.080047
2020-03-14,0,347.76,339.374571
2020-03-15,0,289.81,334.593389
2020-03-16,0,294.71,298.324853
2020-03-17,0,287.49,304.811064
2020-03-18,0,322.06,285.349911
2020-03-19,0,324.00,316.751752
2020-03-20,0,355.53,324.133113
2020-03-21,0,367.45,353.790174
2020-03-22,0,323.30,353.227955
2020-03-23,0,292.49,328.842626
2020-03-24,0,286.18,309.141301
2020-03-25,0,301.68,285.168545
2020-03-26,0,264.92,300.413087
2020-03-27,0,250.25,273.604974
2020-03-28,0,240.43,259.465043
2020-03-29,0,236.87,232.749541
2020-03-30,0,250.44,235.600109
2020-03-31,0,275.69,256.848586
2020-04-01,0,278.65,266.314626
2020-04-02,0,259.62,278.218535
2020-04-03,0,255.16,264.92469
2020-04-04,0,265.82,261.65587
2020-04-05,0,267.03,253.497836
2020-04-06,0,231.10,263.877012
2020-04-07,0,265.19,247.03592
2020-04-08,0,249.97,255.952136
2020-04-09,0,252.79,253.203486
2020-04-10,0,258.48,254.456194
2020-04-11,0,260.53,262.217059
2020-04-12,0,254.17,249.378579
2020-04-13,0,261.52,252.765782
2020-04-14,0,255.28,269.146346
2020-04-15,0,245.53,252.44882
2020-04-16,0,248.57,248.950912
2020-04-17,0,239.95,250.229686
2020-04-18,0,254.13,246.54893
2020-04-19,0,235.36,241.1242
2020-04-20,0,249.67,236.06779
2020-04-21,0,236.52,256.326296
2020-04-22,0,226.43,234.877317
2020-04-23,0,240.38,230.156753
2020-04-24,0,291.77,239.917954
2020-04-25,0,281.58,285.937476
2020-04-26,0,216.70,270.962869
2020-04-27,0,219.98,227.111584
2020-04-28,0,233.71,230.784699
2020-04-29,0,236.20,227.51914
2020-04-30,0,270.61,236.49974
2020-05-01,0,247.63,265.368664
2020-05-02,1,,255.721259
2020-05-03,1,,244.232161
2020-05-04,1,,243.78678
2020-05-05,1,,253.164593
2020-05-06,1,,247.559048
2020-05-07,1,,249.595735
2020-05-08,1,,251.179163
2020-05-09,1,,255.721259
2020-05-10,1,,244.232161
2020-05-11,1,,243.78678
2020-05-12,1,,253.164593
2020-05-13,1,,247.559048
2020-05-14,1,,249.595735
2020-05-15,1,,251.179163
2020-05-16,1,,255.721259
2020-05-17,1,,244.232161
2020-05-18,1,,243.78678
2020-05-19,1,,253.164593
2020-05-20,1,,247.559048
2020-05-21,1,,249.595735
2020-05-22,1,,251.179163
2020-05-23,1,,255.721259
2020-05-24,1,,244.232161
2020-05-25,1,,243.78678
2020-05-26,1,,253.164593
2020-05-27,1,,247.559048
2020-05-28,1,,249.595735
2020-05-29,1,,251.179163
2020-05-30,1,,255.721259
2020-05-31,1,,244.232161
2020-06-01,1,,243.78678
2020-06-02,1,,253.164593
2020-06-03,1,,247.559048
2020-06-04,1,,249.595735
2020-06-05,1,,251.179163
2020-06-06,1,,255.721259
2020-06-07,1,,244.232161
2020-06-08,1,,243.78678
2020-06-09,1,,253.164593
2020-06-10,1,,247.559048
2020-06-11,1,,249.595735
2020-06-12,1,,251.179163
2020-06-13,1,,255.721259
2020-06-14,1,,244.232161
2020-06-15,1,,243.78678
2020-06-16,1,,253.164593
2020-06-17,1,,247.559048
2020-06-18,1,,249.595735
2020-06-19,1,,251.179163
2020-06-20,1,,255.721259
2020-06-21,1,,244.232161
2020-06-22,1,,243.78678
2020-06-23,1,,253.164593
2020-06-24,1,,247.559048
2020-06-25,1,,249.595735
2020-06-26,1,,251.179163
2020-06-27,1,,255.721259
2020-06-28,1,,244.232161
2020-06-29,1,,243.78678
2020-06-30,1,,253.164593
2020-07-01,1,,247.559048
2020-07-02,1,,249.595735
2020-07-03,1,,251.179163
2020-07-04,1,,255.721259
2020-07-05,1,,244.232161
2020-07-06,1,,243.78678
2020-07-07,1,,253.164593
2020-07-08,1,,247.559048
2020-07-09,1,,249.595735
2020-07-10,1,,251.179163
2020-07-11,1,,255.721259
2020-07-12,1,,244.232161
2020-07-13,1,,243.78678
2020-07-14,1,,253.164593
2020-07-15,1,,247.559048
2020-07-16,1,,249.595735
2020-07-17,1,,251.179163
2020-07-18,1,,255.721259
2020-07-19,1,,244.232161
2020-07-20,1,,243.78678
2020-07-21,1,,253.164593
2020-07-22,1,,247.559048
2020-07-23,1,,249.595735
2020-07-24,1,,251.179163
2020-07-25,1,,255.721259
2020-07-26,1,,244.232161
2020-07-27,1,,243.78678
2020-07-28,1,,253.164593
2020-07-29,1,,247.559048
2020-07-30,1,,249.595735
2020-07-31,1,,251.179163
2020-08-01,1,,255.721259
2020-08-02,1,,244.232161
2020-08-03,1,,243.78678
2020-08-04,1,,253.164593
2020-08-05,1,,247.559048
2020-08-06,1,,249.595735
2020-08-07,1,,251.179163
2020-08-08,1,,255.721259
2020-08-09,1,,244.232161
2020-08-10,1,,243.78678
2020-08-11,1,,253.164593
2020-08-12,1,,247.559048
2020-08-13,1,,249.595735
2020-08-14,1,,251.179163
2020-08-15,1,,255.721259
2020-08-16,1,,244.232161
2020-08-17,1,,243.78678
2020-08-18,1,,253.164593
2020-08-19,1,,247.559048
2020-08-20,1,,249.595735
2020-08-21,1,,251.179163
2020-08-22,1,,255.721259
2020-08-23,1,,244.232161
2020-08-24,1,,243.78678
2020-08-25,1,,253.164593
2020-08-26,1,,247.559048
2020-08-27,1,,249.595735
2020-08-28,1,,251.179163
2020-08-29,1,,255.721259
2020-08-30,1,,244.232161
2020-08-31,1,,243.78678
2020-09-01,1,,253.164593
2020-09-02,1,,247.559048
2020-09-03,1,,249.595735
2020-09-04,1,,251.179163
2020-09-05,1,,255.721259
2020-09-06,1,,244.232161
2020-09-07,1,,243.78678
2020-09-08,1,,253.164593
2020-09-09,1,,247.559048
2020-09-10,1,,249.595735
2020-09-11,1,,251.179163
2020-09-12,1,,255.721259
2020-09-13,1,,244.232161
2020-09-14,1,,243.78678
2020-09-15,1,,253.164593
2020-09-16,1,,247.559048
2020-09-17,1,,249.595735
2020-09-18,1,,251.179163
2020-09-19,1,,255.721259
2020-09-20,1,,244.232161
2020-09-21,1,,243.78678
2020-09-22,1,,253.164593
2020-09-23,1,,247.559048
2020-09-24,1,,249.595735
2020-09-25,1,,251.179163
2020-09-26,1,,255.721259
2020-09-27,1,,244.232161
2020-09-28,1,,243.78678
2020-09-29,1,,253.164593
2020-09-30,1,,247.559048
2020-10-01,1,,249.595735
2020-10-02,1,,251.179163
2020-10-03,1,,255.721259
2020-10-04,1,,244.232161
2020-10-05,1,,243.78678
2020-10-06,1,,253.164593
2020-10-07,1,,247.559048
2020-10-08,1,,249.595735
2020-10-09,1,,251.179163
2020-10-10,1,,255.721259
2020-10-11,1,,244.232161
2020-10-12,1,,243.78678
2020-10-13,1,,253.164593
2020-10-14,1,,247.559048
2020-10-15,1,,249.595735
2020-10-16,1,,251.179163
2020-10-17,1,,255.721259
2020-10-18,1,,244.232161
2020-10-19,1,,243.78678
2020-10-20,1,,253.164593
2020-10-21,1,,247.559048
2020-10-22,1,,249.595735
2020-10-23,1,,251.179163
2020-10-24,1,,255.721259
2020-10-25,1,,244.232161
2020-10-26,1,,243.78678
2020-10-27,1,,253.164593
2020-10-28,1,,247.559048
2020-10-29,1,,249.595735
2020-10-30,1,,251.179163
2020-10-31,1,,255.721259
2020-11-01,1,,244.232161
2020-11-02,1,,243.78678
2020-11-03,1,,253.164593
2020-11-04,1,,247.559048
2020-11-05,1,,249.595735
2020-11-06,1,,251.179163
2020-11-07,1,,255.721259
2020-11-08,1,,244.232161
2020-11-09,1,,243.78678
2020-11-10,1,,253.164593
2020-11-11,1,,247.559048
2020-11-12,1,,249.595735
2020-11-13,1,,251.179163
2020-11-14,1,,255.721259
2020-11-15,1,,244.232161
2020-11-16,1,,243.78678
2020-11-17,1,,253.164593
2020-11-18,1,,247.559048
2020-11-19,1,,249.595735
2020-11-20,1,,251.179163
2020-11-21,1,,255.721259
2020-11-22,1,,244.232161
2020-11-23,1,,243.78678
2020-11-24,1,,253.164593
2020-11-25,1,,247.559048
2020-11-26,1,,249.595735
2020-11-27,1,,251.179163
2020-11-28,1,,255.721259
2020-11-29,1,,244.232161
2020-11-30,1,,243.78678
2020-12-01,1,,253.164593
2020-12-02,1,,247.559048
2020-12-03,1,,249.595735
2020-12-04,1,,251.179163
2020-12-05,1,,255.721259
2020-12-06,1,,244.232161
2020-12-07,1,,243.78678
2020-12-08,1,,253.164593
2020-12-09,1,,247.559048
2020-12-10,1,,249.595735
2020-12-11,1,,251.179163
2020-12-12,1,,255.721259
2020-12-13,1,,244.232161
2020-12-14,1,,243.78678
2020-12-15,1,,253.164593
2020-12-16,1,,247.559048
2020-12-17,1,,249.595735
2020-12-18,1,,251.179163
2020-12-19,1,,255.721259
2020-12-20,1,,244.232161
2020-12-21,1,,243.78678
2020-12-22,1,,253.164593
2020-12-23,1,,247.559048
2020-12-24,1,,249.595735
2020-12-25,1,,251.179163
2020-12-26,1,,255.721259
2020-12-27,1,,244.232161
2020-12-28,1,,243.78678
2020-12-29,1,,253.164593
2020-12-30,1,,247.559048
2020-12-31,1,,249.595735
2021-01-01,1,,251.179163
2021-01-02,1,,255.721259
2021-01-03,1,,244.232161
2021-01-04,1,,243.78678
2021-01-05,1,,253.164593
2021-01-06,1,,247.559048
2021-01-07,1,,249.595735
2021-01-08,1,,251.179163
2021-01-09,1,,255.721259
2021-01-10,1,,244.232161
2021-01-11,1,,243.78678
2021-01-12,1,,253.164593
2021-01-13,1,,247.559048
2021-01-14,1,,249.595735
2021-01-15,1,,251.179163
2021-01-16,1,,255.721259
2021-01-17,1,,244.232161
2021-01-18,1,,243.78678
2021-01-19,1,,253.164593
2021-01-20,1,,247.559048
2021-01-21,1,,249.595735
2021-01-22,1,,251.179163
2021-01-23,1,,255.721259
2021-01-24,1,,244.232161
2021-01-25,1,,243.78678
2021-01-26,1,,253.164593
2021-01-27,1,,247.559048
2021-01-28,1,,249.595735
2021-01-29,1,,251.179163
2021-01-30,1,,255.721259
2021-01-31,1,,244.232161
2021-02-01,1,,243.78678
2021-02-02,1,,253.164593
2021-02-03,1,,247.559048
2021-02-04,1,,249.595735
2021-02-05,1,,251.179163
2021-02-06,1,,255.721259
2021-02-07,1,,244.232161
2021-02-08,1,,243.78678
2021-02-09,1,,253.164593
2021-02-10,1,,247.559048
2021-02-11,1,,249.595735
2021-02-12,1,,251.179163
2021-02-13,1,,255.721259
2021-02-14,1,,244.232161
2021-02-15,1,,243.78678
2021-02-16,1,,253.164593
2021-02-17,1,,247.559048
2021-02-18,1,,249.595735
2021-02-19,1,,251.179163
2021-02-20,1,,255.721259
2021-02-21,1,,244.232161
2021-02-22,1,,243.78678
2021-02-23,1,,253.164593
2021-02-24,1,,247.559048
2021-02-25,1,,249.595735
2021-02-26,1,,251.179163
2021-02-27,1,,255.721259
2021-02-28,1,,244.232161
2021-03-01,1,,243.78678
2021-03-02,1,,253.164593
2021-03-03,1,,247.559048
2021-03-04,1,,249.595735
2021-03-05,1,,251.179163
2021-03-06,1,,255.721259
2021-03-07,1,,244.232161
2021-03-08,1,,243.78678
2021-03-09,1,,253.164593
2021-03-10,1,,247.559048
2021-03-11,1,,249.595735
2021-03-12,1,,251.179163
2021-03-13,1,,255.721259
2021-03-14,1,,244.232161
2021-03-15,1,,243.78678
2021-03-16,1,,253.164593
2021-03-17,1,,247.559048
2021-03-18,1,,249.595735
2021-03-19,1,,251.179163
2021-03-20,1,,255.721259
2021-03-21,1,,244.232161
2021-03-22,1,,243.78678
2021-03-23,1,,253.164593
2021-03-24,1,,247.559048
2021-03-25,1,,249.595735
2021-03-26,1,,251.179163
2021-03-27,1,,255.721259
2021-03-28,1,,244.232161
2021-03-29,1,,243.78678
2021-03-30,1,,253.164593
2021-03-31,1,,247.559048
2021-04-01,1,,249.595735
2021-04-02,1,,251.179163
2021-04-03,1,,255.721259
2021-04-04,1,,244.232161
2021-04-05,1,,243.78678
2021-04-06,1,,253.164593
2021-04-07,1,,247.559048
2021-04-08,1,,249.595735
2021-04-09,1,,251.179163
2021-04-10,1,,255.721259
2021-04-11,1,,244.232161
2021-04-12,1,,243.78678
2021-04-13,1,,253.164593
2021-04-14,1,,247.559048
2021-04-15,1,,249.595735
2021-04-16,1,,251.179163
2021-04-17,1,,255.721259
2021-04-18,1,,244.232161
2021-04-19,1,,243.78678
2021-04-20,1,,253.164593
2021-04-21,1,,247.559048
2021-04-22,1,,249.595735
2021-04-23,1,,251.179163
2021-04-24,1,,255.721259
2021-04-25,1,,244.232161
2021-04-26,1,,243.78678
2021-04-27,1,,253.164593
2021-04-28,1,,247.559048
2021-04-29,1,,249.595735
2021-04-30,1,,251.179163
2021-05-01,1,,255.721259
2021-05-02,1,,244.232161
2021-05-03,1,,243.78678
2021-05-04,1,,253.164593
2021-05-05,1,,247.559048
2021-05-06,1,,249.595735
2021-05-07,1,,251.179163
2021-05-08,1,,255.721259
2021-05-09,1,,244.232161
2021-05-10,1,,243.78678
2021-05-11,1,,253.164593
2021-05-12,1,,247.559048
2021-05-13,1,,249.595735
2021-05-14,1,,251.179163
2021-05-15,1,,255.721259
2021-05-16,1,,244.232161
2021-05-17,1,,243.78678
2021-05-18,1,,253.164593
2021-05-19,1,,247.559048
2021-05-20,1,,249.595735
2021-05-21,1,,251.179163
2021-05-22,1,,255.721259
2021-05-23,1,,244.232161
2021-05-24,1,,243.78678
2021-05-25,1,,253.164593
2021-05-26,1,,247.559048
2021-05-27,1,,249.595735
2021-05-28,1,,251.179163
2021-05-29,1,,255.721259
2021-05-30,1,,244.232161
2021-05-31,1,,243.78678
2021-06-01,1,,253.164593
2021-06-02,1,,247.559048
2021-06-03,1,,249.595735
2021-06-04,1,,251.179163
2021-06-05,1,,255.721259
2021-06-06,1,,244.232161
2021-06-07,1,,243.78678
2021-06-08,1,,253.164593
2021-06-09,1,,247.559048
2021-06-10,1,,249.595735
2021-06-11,1,,251.179163
2021-06-12,1,,255.721259
2021-06-13,1,,244.232161
2021-06-14,1,,243.78678
2021-06-15,1,,253.164593
2021-06-16,1,,247.559048
2021-06-17,1,,249.595735
2021-06-18,1,,251.179163
2021-06-19,1,,255.721259
2021-06-20,1,,244.232161
2021-06-21,1,,243.78678
2021-06-22,1,,253.164593
2021-06-23,1,,247.559048
2021-06-24,1,,249.595735
2021-06-25,1,,251.179163
2021-06-26,1,,255.721259
2021-06-27,1,,244.232161
2021-06-28,1,,243.78678
2021-06-29,1,,253.164593
2021-06-30,1,,247.559048
2021-07-01,1,,249.595735
2021-07-02,1,,251.179163
2021-07-03,1,,255.721259
2021-07-04,1,,244.232161
2021-07-05,1,,243.78678
2021-07-06,1,,253.164593
2021-07-07,1,,247.559048
2021-07-08,1,,249.595735
2021-07-09,1,,251.179163
2021-07-10,1,,255.721259
2021-07-11,1,,244.232161
2021-07-12,1,,243.78678
2021-07-13,1,,253.164593
2021-07-14,1,,247.559048
2021-07-15,1,,249.595735
2021-07-16,1,,251.179163
2021-07-17,1,,255.721259
2021-07-18,1,,244.232161
2021-07-19,1,,243.78678
2021-07-20,1,,253.164593
2021-07-21,1,,247.559048
2021-07-22,1,,249.595735
2021-07-23,1,,251.179163
2021-07-24,1,,255.721259
2021-07-25,1,,244.232161
2021-07-26,1,,243.78678
2021-07-27,1,,253.164593
2021-07-28,1,,247.559048
2021-07-29,1,,249.595735
