Year,$FutureFlag,PM,O3,$TS-PM,$TSLCI-PM,$TSUCI-PM,$TS-O3,$TSLCI-O3,$TSUCI-O3
1990-01-01,0,57.500137,25.479616,,,,25.477035,24.65374,26.300331
1991-01-01,0,58.194474,25.35209,57.992852,55.655865,60.329839,25.352796,24.529501,26.176092
1992-01-01,0,59.060688,25.139187,58.687189,56.350202,61.024175,25.22458,24.401284,26.047875
1993-01-01,0,58.528327,24.44859,59.553402,57.216415,61.890389,24.927975,24.10468,25.75127
1994-01-01,0,58.334058,23.949792,59.021042,56.684055,61.358029,23.767488,22.944192,24.590783
1995-01-01,0,57.998226,23.450432,58.826773,56.489786,61.16376,23.447332,22.624037,24.270628
1996-01-01,0,58.729165,23.234831,58.490941,56.153954,60.827928,22.951029,22.127734,23.774324
1997-01-01,0,60.901716,23.862899,59.221879,56.884893,61.558866,23.013605,22.19031,23.8369
1998-01-01,0,61.086733,23.785558,61.394431,59.057444,63.731417,24.474162,23.650866,25.297457
1999-01-01,0,59.539222,22.608552,61.579448,59.242461,63.916435,23.721948,22.898653,24.545243
2000-01-01,0,59.897631,22.013841,60.031937,57.69495,62.368923,21.453547,20.630252,22.276842
2001-01-01,0,60.636771,21.482037,60.390346,58.053359,62.727333,21.407915,20.58462,22.23121
2002-01-01,0,60.500931,20.669041,61.129486,58.792499,63.466473,20.948819,20.125524,21.772115
2003-01-01,0,60.121702,19.687443,60.993646,58.656659,63.330633,19.861597,19.038301,20.684892
2004-01-01,0,58.482692,18.334055,60.614417,58.27743,62.951403,18.70927,17.885975,19.532565
2005-01-01,0,59.042924,17.747146,58.975407,56.63842,61.312394,16.988087,16.164792,17.811383
2006-01-01,0,60.685858,17.732316,59.535638,57.198651,61.872625,17.145155,16.32186,17.968451
2007-01-01,0,62.099054,17.652383,61.178573,58.841586,63.51556,17.705923,16.882628,18.529218
2008-01-01,0,63.575443,17.569015,62.591769,60.254782,64.928755,17.573568,16.750273,18.396863
2009-01-01,0,64.453242,17.426509,64.068157,61.73117,66.405144,17.485732,16.662437,18.309027
2010-01-01,0,65.616689,17.358088,64.945957,62.60897,67.282944,17.285178,16.461882,18.108473
2011-01-01,0,67.172223,17.241612,66.109404,63.772417,68.446391,17.288216,16.464921,18.111511
2012-01-01,0,64.774923,17.085297,67.664938,65.327951,70.001925,17.126067,16.302772,17.949362
2013-01-01,0,67.219481,17.047079,65.267637,62.930651,67.604624,16.929784,16.106489,17.75308
2014-01-01,0,67.906896,17.130382,67.712196,65.375209,70.049183,17.006533,16.183238,17.829829
2015-01-01,0,69.48516,17.211842,68.399611,66.062624,70.736597,17.211241,16.387946,18.034536
2016-01-01,0,70.131953,17.30747,69.977875,67.640888,72.314862,17.293302,16.470007,18.116597
2017-01-01,0,70.803435,17.240293,70.624668,68.287681,72.961655,17.402817,16.579522,18.226112
2018-01-01,1,,,71.29615,68.959163,73.633137,17.176339,16.353043,17.999634
2019-01-01,1,,,71.788865,68.483866,75.093863,17.112368,15.286005,18.938732
2020-01-01,1,,,72.28158,68.2338,76.32936,17.048398,14.002716,20.094081
